Date,Metric,App,Category,Platform,Value
8/2/13,D1 Retention,Words With Enemies,Games,Android,66.2%
8/2/13,D1 Retention,Crappy Birds,Games,Android,14.9%
8/2/13,D1 Retention,Zuber,Services,Android,39.2%
8/2/13,D1 Retention,Carry,Services,Android,35.8%
8/3/13,DAU,CandyBash,Games,iOS,35862533
8/3/13,DAU,Words With Enemies,Games,iOS,25460533
8/3/13,DAU,Crappy Birds,Games,iOS,796
8/3/13,DAU,Zuber,Services,iOS,2337064
8/3/13,DAU,Carry,Services,iOS,309523
8/3/13,DAU,CandyBash,Games,Android,21980262
8/3/13,DAU,Words With Enemies,Games,Android,15604843
8/3/13,DAU,Crappy Birds,Games,Android,501
8/3/13,DAU,Zuber,Services,Android,1531180
8/3/13,DAU,Carry,Services,Android,204600
8/3/13,D1 Retention,CandyBash,Games,iOS,70.6%
8/3/13,D1 Retention,Words With Enemies,Games,iOS,69.8%
8/3/13,D1 Retention,Crappy Birds,Games,iOS,15.3%
8/3/13,D1 Retention,Zuber,Services,iOS,39.1%
8/3/13,D1 Retention,Carry,Services,iOS,35.1%
8/3/13,D1 Retention,CandyBash,Games,Android,71.3%
8/3/13,D1 Retention,Words With Enemies,Games,Android,67.7%
8/3/13,D1 Retention,Crappy Birds,Games,Android,15.6%
8/3/13,D1 Retention,Zuber,Services,Android,37.2%
8/3/13,D1 Retention,Carry,Services,Android,34.8%
8/4/13,DAU,CandyBash,Games,iOS,34646210
8/4/13,DAU,Words With Enemies,Games,iOS,24211436
8/4/13,DAU,Crappy Birds,Games,iOS,864
8/4/13,DAU,Zuber,Services,iOS,2415067
8/4/13,DAU,Carry,Services,iOS,309295
8/4/13,DAU,CandyBash,Games,Android,22520037
8/4/13,DAU,Words With Enemies,Games,Android,17235259
8/4/13,DAU,Crappy Birds,Games,Android,529
8/4/13,DAU,Zuber,Services,Android,1569794
8/4/13,DAU,Carry,Services,Android,223972
8/4/13,D1 Retention,CandyBash,Games,iOS,69.9%
8/4/13,D1 Retention,Words With Enemies,Games,iOS,70.1%
8/4/13,D1 Retention,Crappy Birds,Games,iOS,15.1%
8/4/13,D1 Retention,Zuber,Services,iOS,38.9%
8/4/13,D1 Retention,Carry,Services,iOS,35.0%
8/4/13,D1 Retention,CandyBash,Games,Android,69.2%
8/4/13,D1 Retention,Words With Enemies,Games,Android,68.6%
8/4/13,D1 Retention,Crappy Birds,Games,Android,14.9%
8/4/13,D1 Retention,Zuber,Services,Android,37.4%
8/4/13,D1 Retention,Carry,Services,Android,36.1%
8/5/13,DAU,CandyBash,Games,iOS,34090136
8/5/13,DAU,Words With Enemies,Games,iOS,23764649
8/5/13,DAU,Crappy Birds,Games,iOS,795
8/5/13,DAU,Zuber,Services,iOS,2417865
8/5/13,DAU,Carry,Services,iOS,321604
8/5/13,DAU,CandyBash,Games,Android,23111956
8/5/13,DAU,Words With Enemies,Games,Android,16799148
8/5/13,DAU,Crappy Birds,Games,Android,557
8/5/13,DAU,Zuber,Services,Android,1531315
8/5/13,DAU,Carry,Services,Android,214402
8/5/13,D1 Retention,CandyBash,Games,iOS,70.4%
8/5/13,D1 Retention,Words With Enemies,Games,iOS,70.1%
8/5/13,D1 Retention,Crappy Birds,Games,iOS,14.9%
8/5/13,D1 Retention,Zuber,Services,iOS,38.5%
8/5/13,D1 Retention,Carry,Services,iOS,35.2%
8/5/13,D1 Retention,CandyBash,Games,Android,66.8%
8/5/13,D1 Retention,Words With Enemies,Games,Android,68.0%
8/5/13,D1 Retention,Crappy Birds,Games,Android,14.9%
8/5/13,D1 Retention,Zuber,Services,Android,39.6%
8/5/13,D1 Retention,Carry,Services,Android,35.9%
8/6/13,DAU,CandyBash,Games,iOS,33468951
8/6/13,DAU,Words With Enemies,Games,iOS,24566440
8/6/13,DAU,Crappy Birds,Games,iOS,844
8/6/13,DAU,Zuber,Services,iOS,2465840
8/6/13,DAU,Carry,Services,iOS,320012
8/6/13,DAU,CandyBash,Games,Android,21927933
8/6/13,DAU,Words With Enemies,Games,Android,15968186
8/6/13,DAU,Crappy Birds,Games,Android,601
8/6/13,DAU,Zuber,Services,Android,1616944
8/6/13,DAU,Carry,Services,Android,211533
8/6/13,D1 Retention,CandyBash,Games,iOS,70.6%
8/6/13,D1 Retention,Words With Enemies,Games,iOS,69.9%
8/6/13,D1 Retention,Crappy Birds,Games,iOS,14.5%
8/6/13,D1 Retention,Zuber,Services,iOS,38.6%
8/6/13,D1 Retention,Carry,Services,iOS,35.0%
8/6/13,D1 Retention,CandyBash,Games,Android,71.3%
8/6/13,D1 Retention,Words With Enemies,Games,Android,69.9%
8/6/13,D1 Retention,Crappy Birds,Games,Android,14.7%
8/6/13,D1 Retention,Zuber,Services,Android,38.6%
8/6/13,D1 Retention,Carry,Services,Android,36.7%
8/7/13,DAU,CandyBash,Games,iOS,33422315
8/7/13,DAU,Words With Enemies,Games,iOS,24183183
8/7/13,DAU,Crappy Birds,Games,iOS,939
8/7/13,DAU,Zuber,Services,iOS,2353029
8/7/13,DAU,Carry,Services,iOS,320814
8/7/13,DAU,CandyBash,Games,Android,24202366
8/7/13,DAU,Words With Enemies,Games,Android,16805262
8/7/13,DAU,Crappy Birds,Games,Android,657
8/7/13,DAU,Zuber,Services,Android,1622778
8/7/13,DAU,Carry,Services,Android,228376
8/7/13,D1 Retention,CandyBash,Games,iOS,71.2%
8/7/13,D1 Retention,Words With Enemies,Games,iOS,69.5%
8/7/13,D1 Retention,Crappy Birds,Games,iOS,14.2%
8/7/13,D1 Retention,Zuber,Services,iOS,38.5%
8/7/13,D1 Retention,Carry,Services,iOS,34.6%
8/7/13,D1 Retention,CandyBash,Games,Android,70.5%
8/7/13,D1 Retention,Words With Enemies,Games,Android,66.7%
8/7/13,D1 Retention,Crappy Birds,Games,Android,14.1%
8/7/13,D1 Retention,Zuber,Services,Android,38.5%
8/7/13,D1 Retention,Carry,Services,Android,34.9%
8/8/13,DAU,CandyBash,Games,iOS,33397575
8/8/13,DAU,Words With Enemies,Games,iOS,24589667
8/8/13,DAU,Crappy Birds,Games,iOS,1220
8/8/13,DAU,Zuber,Services,iOS,2525713
8/8/13,DAU,Carry,Services,iOS,322835
8/8/13,DAU,CandyBash,Games,Android,23608630
8/8/13,DAU,Words With Enemies,Games,Android,16802939
8/8/13,DAU,Crappy Birds,Games,Android,814
8/8/13,DAU,Zuber,Services,Android,1548018
8/8/13,DAU,Carry,Services,Android,213399
8/8/13,D1 Retention,CandyBash,Games,iOS,71.7%
8/8/13,D1 Retention,Words With Enemies,Games,iOS,69.6%
8/8/13,D1 Retention,Crappy Birds,Games,iOS,14.3%
8/8/13,D1 Retention,Zuber,Services,iOS,38.8%
8/8/13,D1 Retention,Carry,Services,iOS,34.4%
8/8/13,D1 Retention,CandyBash,Games,Android,75.3%
8/8/13,D1 Retention,Words With Enemies,Games,Android,67.5%
8/8/13,D1 Retention,Crappy Birds,Games,Android,14.2%
8/8/13,D1 Retention,Zuber,Services,Android,40.4%
8/8/13,D1 Retention,Carry,Services,Android,36.1%
8/9/13,DAU,CandyBash,Games,iOS,33934971
8/9/13,DAU,Words With Enemies,Games,iOS,25414174
8/9/13,DAU,Crappy Birds,Games,iOS,1452
8/9/13,DAU,Zuber,Services,iOS,2452995
8/9/13,DAU,Carry,Services,iOS,335825
8/9/13,DAU,CandyBash,Games,Android,21856422
8/9/13,DAU,Words With Enemies,Games,Android,15986335
8/9/13,DAU,Crappy Birds,Games,Android,960
8/9/13,DAU,Zuber,Services,Android,1717097
8/9/13,DAU,Carry,Services,Android,209203
8/9/13,D1 Retention,CandyBash,Games,iOS,71.0%
8/9/13,D1 Retention,Words With Enemies,Games,iOS,69.9%
8/9/13,D1 Retention,Crappy Birds,Games,iOS,14.8%
8/9/13,D1 Retention,Zuber,Services,iOS,39.0%
8/9/13,D1 Retention,Carry,Services,iOS,34.6%
8/9/13,D1 Retention,CandyBash,Games,Android,68.2%
8/9/13,D1 Retention,Words With Enemies,Games,Android,70.5%
8/9/13,D1 Retention,Crappy Birds,Games,Android,14.8%
8/9/13,D1 Retention,Zuber,Services,Android,37.4%
8/9/13,D1 Retention,Carry,Services,Android,35.6%
8/10/13,DAU,CandyBash,Games,iOS,35046116
8/10/13,DAU,Words With Enemies,Games,iOS,23779064
8/10/13,DAU,Crappy Birds,Games,iOS,1311
8/10/13,DAU,Zuber,Services,iOS,2454108
8/10/13,DAU,Carry,Services,iOS,338544
8/10/13,DAU,CandyBash,Games,Android,22406533
8/10/13,DAU,Words With Enemies,Games,Android,15989371
8/10/13,DAU,Crappy Birds,Games,Android,874
8/10/13,DAU,Zuber,Services,Android,1554268
8/10/13,DAU,Carry,Services,Android,233096
8/10/13,D1 Retention,CandyBash,Games,iOS,70.2%
8/10/13,D1 Retention,Words With Enemies,Games,iOS,69.4%
8/10/13,D1 Retention,Crappy Birds,Games,iOS,14.7%
8/10/13,D1 Retention,Zuber,Services,iOS,38.8%
8/10/13,D1 Retention,Carry,Services,iOS,34.8%
8/10/13,D1 Retention,CandyBash,Games,Android,69.5%
8/10/13,D1 Retention,Words With Enemies,Games,Android,68.7%
8/10/13,D1 Retention,Crappy Birds,Games,Android,14.6%
8/10/13,D1 Retention,Zuber,Services,Android,39.2%
8/10/13,D1 Retention,Carry,Services,Android,36.5%
8/11/13,DAU,CandyBash,Games,iOS,33340518
8/11/13,DAU,Words With Enemies,Games,iOS,25435395
8/11/13,DAU,Crappy Birds,Games,iOS,1462
8/11/13,DAU,Zuber,Services,iOS,2545437
8/11/13,DAU,Carry,Services,iOS,334625
8/11/13,DAU,CandyBash,Games,Android,23568297
8/11/13,DAU,Words With Enemies,Games,Android,15589435
8/11/13,DAU,Crappy Birds,Games,Android,935
8/11/13,DAU,Zuber,Services,Android,1642217
8/11/13,DAU,Carry,Services,Android,228660
8/11/13,D1 Retention,CandyBash,Games,iOS,71.1%
8/11/13,D1 Retention,Words With Enemies,Games,iOS,69.2%
8/11/13,D1 Retention,Crappy Birds,Games,iOS,14.3%
8/11/13,D1 Retention,Zuber,Services,iOS,39.0%
8/11/13,D1 Retention,Carry,Services,iOS,34.7%
8/11/13,D1 Retention,CandyBash,Games,Android,71.8%
8/11/13,D1 Retention,Words With Enemies,Games,Android,66.4%
8/11/13,D1 Retention,Crappy Birds,Games,Android,14.4%
8/11/13,D1 Retention,Zuber,Services,Android,39.0%
8/11/13,D1 Retention,Carry,Services,Android,36.1%
8/12/13,DAU,CandyBash,Games,iOS,35662655
8/12/13,DAU,Words With Enemies,Games,iOS,24641137
8/12/13,DAU,Crappy Birds,Games,iOS,1486
8/12/13,DAU,Zuber,Services,iOS,2420862
8/12/13,DAU,Carry,Services,iOS,340126
8/12/13,DAU,CandyBash,Games,Android,21857757
8/12/13,DAU,Words With Enemies,Games,Android,17248796
8/12/13,DAU,Crappy Birds,Games,Android,957
8/12/13,DAU,Zuber,Services,Android,1600231
8/12/13,DAU,Carry,Services,Android,228609
8/12/13,D1 Retention,CandyBash,Games,iOS,72.0%
8/12/13,D1 Retention,Words With Enemies,Games,iOS,68.7%
8/12/13,D1 Retention,Crappy Birds,Games,iOS,14.5%
8/12/13,D1 Retention,Zuber,Services,iOS,39.5%
8/12/13,D1 Retention,Carry,Services,iOS,34.6%
8/12/13,D1 Retention,CandyBash,Games,Android,69.8%
8/12/13,D1 Retention,Words With Enemies,Games,Android,66.0%
8/12/13,D1 Retention,Crappy Birds,Games,Android,15.2%
8/12/13,D1 Retention,Zuber,Services,Android,40.7%
8/12/13,D1 Retention,Carry,Services,Android,34.3%
8/13/13,DAU,CandyBash,Games,iOS,33307651
8/13/13,DAU,Words With Enemies,Games,iOS,23811704
8/13/13,DAU,Crappy Birds,Games,iOS,1492
8/13/13,DAU,Zuber,Services,iOS,2552755
8/13/13,DAU,Carry,Services,iOS,325614
8/13/13,DAU,CandyBash,Games,Android,21822254
8/13/13,DAU,Words With Enemies,Games,Android,16421865
8/13/13,DAU,Crappy Birds,Games,Android,986
8/13/13,DAU,Zuber,Services,Android,1646938
8/13/13,DAU,Carry,Services,Android,235789
8/13/13,D1 Retention,CandyBash,Games,iOS,71.7%
8/13/13,D1 Retention,Words With Enemies,Games,iOS,68.9%
8/13/13,D1 Retention,Crappy Birds,Games,iOS,14.3%
8/13/13,D1 Retention,Zuber,Services,iOS,39.8%
8/13/13,D1 Retention,Carry,Services,iOS,34.8%
8/13/13,D1 Retention,CandyBash,Games,Android,68.8%
8/13/13,D1 Retention,Words With Enemies,Games,Android,68.2%
8/13/13,D1 Retention,Crappy Birds,Games,Android,13.7%
8/13/13,D1 Retention,Zuber,Services,Android,38.2%
8/13/13,D1 Retention,Carry,Services,Android,36.5%
8/14/13,DAU,CandyBash,Games,iOS,33825008
8/14/13,DAU,Words With Enemies,Games,iOS,24238650
8/14/13,DAU,Crappy Birds,Games,iOS,1607
8/14/13,DAU,Zuber,Services,iOS,2517244
8/14/13,DAU,Carry,Services,iOS,332599
8/14/13,DAU,CandyBash,Games,Android,23505514
8/14/13,DAU,Words With Enemies,Games,Android,16843808
8/14/13,DAU,Crappy Birds,Games,Android,1011
8/14/13,DAU,Zuber,Services,Android,1650652
8/14/13,DAU,Carry,Services,Android,236765
8/14/13,D1 Retention,CandyBash,Games,iOS,71.3%
8/14/13,D1 Retention,Words With Enemies,Games,iOS,68.6%
8/14/13,D1 Retention,Crappy Birds,Games,iOS,14.7%
8/14/13,D1 Retention,Zuber,Services,iOS,39.4%
8/14/13,D1 Retention,Carry,Services,iOS,34.5%
8/14/13,D1 Retention,CandyBash,Games,Android,71.3%
8/14/13,D1 Retention,Words With Enemies,Games,Android,70.0%
8/14/13,D1 Retention,Crappy Birds,Games,Android,14.4%
8/14/13,D1 Retention,Zuber,Services,Android,37.9%
8/14/13,D1 Retention,Carry,Services,Android,36.3%
8/15/13,DAU,CandyBash,Games,iOS,34338736
8/15/13,DAU,Words With Enemies,Games,iOS,24255510
8/15/13,DAU,Crappy Birds,Games,iOS,1570
8/15/13,DAU,Zuber,Services,iOS,2438740
8/15/13,DAU,Carry,Services,iOS,338013
8/15/13,DAU,CandyBash,Games,Android,22892490
8/15/13,DAU,Words With Enemies,Games,Android,16444414
8/15/13,DAU,Crappy Birds,Games,Android,1099
8/15/13,DAU,Zuber,Services,Android,1736052
8/15/13,DAU,Carry,Services,Android,219708
8/15/13,D1 Retention,CandyBash,Games,iOS,71.9%
8/15/13,D1 Retention,Words With Enemies,Games,iOS,68.8%
8/15/13,D1 Retention,Crappy Birds,Games,iOS,14.5%
8/15/13,D1 Retention,Zuber,Services,iOS,39.2%
8/15/13,D1 Retention,Carry,Services,iOS,34.9%
8/15/13,D1 Retention,CandyBash,Games,Android,68.3%
8/15/13,D1 Retention,Words With Enemies,Games,Android,68.8%
8/15/13,D1 Retention,Crappy Birds,Games,Android,14.1%
8/15/13,D1 Retention,Zuber,Services,Android,37.6%
8/15/13,D1 Retention,Carry,Services,Android,35.2%
8/16/13,DAU,CandyBash,Games,iOS,34911405
8/16/13,DAU,Words With Enemies,Games,iOS,23859793
8/16/13,DAU,Crappy Birds,Games,iOS,1800
8/16/13,DAU,Zuber,Services,iOS,2491687
8/16/13,DAU,Carry,Services,iOS,325726
8/16/13,DAU,CandyBash,Games,Android,23465043
8/16/13,DAU,Words With Enemies,Games,Android,16455030
8/16/13,DAU,Crappy Birds,Games,Android,1239
8/16/13,DAU,Zuber,Services,Android,1702653
8/16/13,DAU,Carry,Services,Android,213406
8/16/13,D1 Retention,CandyBash,Games,iOS,71.7%
8/16/13,D1 Retention,Words With Enemies,Games,iOS,69.2%
8/16/13,D1 Retention,Crappy Birds,Games,iOS,14.3%
8/16/13,D1 Retention,Zuber,Services,iOS,38.7%
8/16/13,D1 Retention,Carry,Services,iOS,34.5%
8/16/13,D1 Retention,CandyBash,Games,Android,69.5%
8/16/13,D1 Retention,Words With Enemies,Games,Android,70.6%
8/16/13,D1 Retention,Crappy Birds,Games,Android,14.0%
8/16/13,D1 Retention,Zuber,Services,Android,40.7%
8/16/13,D1 Retention,Carry,Services,Android,36.2%
8/17/13,DAU,CandyBash,Games,iOS,35448056
8/17/13,DAU,Words With Enemies,Games,iOS,25120662
8/17/13,DAU,Crappy Birds,Games,iOS,1822
8/17/13,DAU,Zuber,Services,iOS,2458777
8/17/13,DAU,Carry,Services,iOS,346598
8/17/13,DAU,CandyBash,Games,Android,22297971
8/17/13,DAU,Words With Enemies,Games,Android,16884379
8/17/13,DAU,Crappy Birds,Games,Android,1288
8/17/13,DAU,Zuber,Services,Android,1625293
8/17/13,DAU,Carry,Services,Android,227278
8/17/13,D1 Retention,CandyBash,Games,iOS,72.3%
8/17/13,D1 Retention,Words With Enemies,Games,iOS,68.9%
8/17/13,D1 Retention,Crappy Birds,Games,iOS,14.7%
8/17/13,D1 Retention,Zuber,Services,iOS,38.8%
8/17/13,D1 Retention,Carry,Services,iOS,34.5%
8/17/13,D1 Retention,CandyBash,Games,Android,69.4%
8/17/13,D1 Retention,Words With Enemies,Games,Android,68.2%
8/17/13,D1 Retention,Crappy Birds,Games,Android,14.0%
8/17/13,D1 Retention,Zuber,Services,Android,40.0%
8/17/13,D1 Retention,Carry,Services,Android,33.5%
8/18/13,DAU,CandyBash,Games,iOS,33714943
8/18/13,DAU,Words With Enemies,Games,iOS,25535369
8/18/13,DAU,Crappy Birds,Games,iOS,2135
8/18/13,DAU,Zuber,Services,iOS,2546663
8/18/13,DAU,Carry,Services,iOS,346128
8/18/13,DAU,CandyBash,Games,Android,21714709
8/18/13,DAU,Words With Enemies,Games,Android,16886292
8/18/13,DAU,Crappy Birds,Games,Android,1377
8/18/13,DAU,Zuber,Services,Android,1586446
8/18/13,DAU,Carry,Services,Android,232643
8/18/13,D1 Retention,CandyBash,Games,iOS,73.2%
8/18/13,D1 Retention,Words With Enemies,Games,iOS,69.4%
8/18/13,D1 Retention,Crappy Birds,Games,iOS,14.2%
8/18/13,D1 Retention,Zuber,Services,iOS,38.5%
8/18/13,D1 Retention,Carry,Services,iOS,34.8%
8/18/13,D1 Retention,CandyBash,Games,Android,71.7%
8/18/13,D1 Retention,Words With Enemies,Games,Android,65.9%
8/18/13,D1 Retention,Crappy Birds,Games,Android,13.5%
8/18/13,D1 Retention,Zuber,Services,Android,37.3%
8/18/13,D1 Retention,Carry,Services,Android,33.1%
8/19/13,DAU,CandyBash,Games,iOS,34800068
8/19/13,DAU,Words With Enemies,Games,iOS,24259543
8/19/13,DAU,Crappy Birds,Games,iOS,1922
8/19/13,DAU,Zuber,Services,iOS,2425888
8/19/13,DAU,Carry,Services,iOS,351351
8/19/13,DAU,CandyBash,Games,Android,23390210
8/19/13,DAU,Words With Enemies,Games,Android,16035969
8/19/13,DAU,Crappy Birds,Games,Android,1336
8/19/13,DAU,Zuber,Services,Android,1631201
8/19/13,DAU,Carry,Services,Android,224635
8/19/13,D1 Retention,CandyBash,Games,iOS,73.8%
8/19/13,D1 Retention,Words With Enemies,Games,iOS,69.1%
8/19/13,D1 Retention,Crappy Birds,Games,iOS,14.6%
8/19/13,D1 Retention,Zuber,Services,iOS,38.0%
8/19/13,D1 Retention,Carry,Services,iOS,34.4%
8/19/13,D1 Retention,CandyBash,Games,Android,77.5%
8/19/13,D1 Retention,Words With Enemies,Games,Android,72.6%
8/19/13,D1 Retention,Crappy Birds,Games,Android,14.9%
8/19/13,D1 Retention,Zuber,Services,Android,36.5%
8/19/13,D1 Retention,Carry,Services,Android,33.7%
8/20/13,DAU,CandyBash,Games,iOS,34229268
8/20/13,DAU,Words With Enemies,Games,iOS,24284696
8/20/13,DAU,Crappy Birds,Games,iOS,2245
8/20/13,DAU,Zuber,Services,iOS,2601707
8/20/13,DAU,Carry,Services,iOS,356723
8/20/13,DAU,CandyBash,Games,Android,22819512
8/20/13,DAU,Words With Enemies,Games,Android,15640990
8/20/13,DAU,Crappy Birds,Games,Android,1459
8/20/13,DAU,Zuber,Services,Android,1678521
8/20/13,DAU,Carry,Services,Android,218636
8/20/13,D1 Retention,CandyBash,Games,iOS,73.6%
8/20/13,D1 Retention,Words With Enemies,Games,iOS,69.0%
8/20/13,D1 Retention,Crappy Birds,Games,iOS,14.1%
8/20/13,D1 Retention,Zuber,Services,iOS,37.7%
8/20/13,D1 Retention,Carry,Services,iOS,34.8%
8/20/13,D1 Retention,CandyBash,Games,Android,72.2%
8/20/13,D1 Retention,Words With Enemies,Games,Android,67.6%
8/20/13,D1 Retention,Crappy Birds,Games,Android,13.8%
8/20/13,D1 Retention,Zuber,Services,Android,37.0%
8/20/13,D1 Retention,Carry,Services,Android,35.8%
8/21/13,DAU,CandyBash,Games,iOS,33619397
8/21/13,DAU,Words With Enemies,Games,iOS,25121412
8/21/13,DAU,Crappy Birds,Games,iOS,2435
8/21/13,DAU,Zuber,Services,iOS,2433047
8/21/13,DAU,Carry,Services,iOS,342777
8/21/13,DAU,CandyBash,Games,Android,21653171
8/21/13,DAU,Words With Enemies,Games,Android,16473057
8/21/13,DAU,Crappy Birds,Games,Android,1636
8/21/13,DAU,Zuber,Services,Android,1594065
8/21/13,DAU,Carry,Services,Android,238201
8/21/13,D1 Retention,CandyBash,Games,iOS,74.1%
8/21/13,D1 Retention,Words With Enemies,Games,iOS,69.1%
8/21/13,D1 Retention,Crappy Birds,Games,iOS,14.5%
8/21/13,D1 Retention,Zuber,Services,iOS,37.2%
8/21/13,D1 Retention,Carry,Services,iOS,35.3%
8/21/13,D1 Retention,CandyBash,Games,Android,74.1%
8/21/13,D1 Retention,Words With Enemies,Games,Android,72.5%
8/21/13,D1 Retention,Crappy Birds,Games,Android,14.0%
8/21/13,D1 Retention,Zuber,Services,Android,38.7%
8/21/13,D1 Retention,Carry,Services,Android,34.9%
8/22/13,DAU,CandyBash,Games,iOS,34750275
8/22/13,DAU,Words With Enemies,Games,iOS,24297758
8/22/13,DAU,Crappy Birds,Games,iOS,2768
8/22/13,DAU,Zuber,Services,iOS,2520436
8/22/13,DAU,Carry,Services,iOS,359700
8/22/13,DAU,CandyBash,Games,Android,23926419
8/22/13,DAU,Words With Enemies,Games,Android,16473056
8/22/13,DAU,Crappy Birds,Games,Android,1831
8/22/13,DAU,Zuber,Services,Android,1638283
8/22/13,DAU,Carry,Services,Android,220462
8/22/13,D1 Retention,CandyBash,Games,iOS,74.5%
8/22/13,D1 Retention,Words With Enemies,Games,iOS,68.8%
8/22/13,D1 Retention,Crappy Birds,Games,iOS,14.4%
8/22/13,D1 Retention,Zuber,Services,iOS,37.2%
8/22/13,D1 Retention,Carry,Services,iOS,35.2%
8/22/13,D1 Retention,CandyBash,Games,Android,70.8%
8/22/13,D1 Retention,Words With Enemies,Games,Android,68.1%
8/22/13,D1 Retention,Crappy Birds,Games,Android,14.8%
8/22/13,D1 Retention,Zuber,Services,Android,37.5%
8/22/13,D1 Retention,Carry,Services,Android,36.6%
8/23/13,DAU,CandyBash,Games,iOS,34167511
8/23/13,DAU,Words With Enemies,Games,iOS,24269022
8/23/13,DAU,Crappy Birds,Games,iOS,2543
8/23/13,DAU,Zuber,Services,iOS,2562886
8/23/13,DAU,Carry,Services,iOS,346443
8/23/13,DAU,CandyBash,Games,Android,21639424
8/23/13,DAU,Words With Enemies,Games,Android,17276253
8/23/13,DAU,Crappy Birds,Games,Android,1842
8/23/13,DAU,Zuber,Services,Android,1596552
8/23/13,DAU,Carry,Services,Android,240749
8/23/13,D1 Retention,CandyBash,Games,iOS,75.3%
8/23/13,D1 Retention,Words With Enemies,Games,iOS,69.0%
8/23/13,D1 Retention,Crappy Birds,Games,iOS,14.5%
8/23/13,D1 Retention,Zuber,Services,iOS,37.5%
8/23/13,D1 Retention,Carry,Services,iOS,35.4%
8/23/13,D1 Retention,CandyBash,Games,Android,76.0%
8/23/13,D1 Retention,Words With Enemies,Games,Android,65.5%
8/23/13,D1 Retention,Crappy Birds,Games,Android,13.8%
8/23/13,D1 Retention,Zuber,Services,Android,37.1%
8/23/13,D1 Retention,Carry,Services,Android,36.8%
8/24/13,DAU,CandyBash,Games,iOS,35327509
8/24/13,DAU,Words With Enemies,Games,iOS,25119501
8/24/13,DAU,Crappy Birds,Games,iOS,2686
8/24/13,DAU,Zuber,Services,iOS,2436495
8/24/13,DAU,Carry,Services,iOS,363398
8/24/13,DAU,CandyBash,Games,Android,23931538
8/24/13,DAU,Words With Enemies,Games,Android,17295394
8/24/13,DAU,Crappy Birds,Games,Android,1777
8/24/13,DAU,Zuber,Services,Android,1596325
8/24/13,DAU,Carry,Services,Android,240312
8/24/13,D1 Retention,CandyBash,Games,iOS,75.5%
8/24/13,D1 Retention,Words With Enemies,Games,iOS,69.3%
8/24/13,D1 Retention,Crappy Birds,Games,iOS,14.3%
8/24/13,D1 Retention,Zuber,Services,iOS,37.4%
8/24/13,D1 Retention,Carry,Services,iOS,35.6%
8/24/13,D1 Retention,CandyBash,Games,Android,71.7%
8/24/13,D1 Retention,Words With Enemies,Games,Android,66.6%
8/24/13,D1 Retention,Crappy Birds,Games,Android,14.0%
8/24/13,D1 Retention,Zuber,Services,Android,37.8%
8/24/13,D1 Retention,Carry,Services,Android,34.1%
8/25/13,DAU,CandyBash,Games,iOS,33048990
8/25/13,DAU,Words With Enemies,Games,iOS,24718886
8/25/13,DAU,Crappy Birds,Games,iOS,2663
8/25/13,DAU,Zuber,Services,iOS,2569970
8/25/13,DAU,Carry,Services,iOS,368906
8/25/13,DAU,CandyBash,Games,Android,22792407
8/25/13,DAU,Words With Enemies,Games,Android,16891239
8/25/13,DAU,Crappy Birds,Games,Android,1760
8/25/13,DAU,Zuber,Services,Android,1685226
8/25/13,DAU,Carry,Services,Android,226103
8/25/13,D1 Retention,CandyBash,Games,iOS,75.5%
